weekday,time,count,sum,average
4,73800,2,110,55
4,74400,3,182,60
4,75000,2,84,42
4,75600,3,182,60
4,76200,2,96,48
4,76800,3,155,51
4,77400,2,83,41
4,78000,4,142,35
4,78600,4,103,25
4,79200,6,62,10
5,21600,7,151,21
5,22200,5,205,41
5,22800,2,118,59
5,23400,7,363,51
5,24000,6,327,54
5,24600,5,296,59
5,25200,5,293,58
5,25800,5,276,55
5,26400,4,217,54
5,27000,5,239,47
5,27600,6,253,42
5,28200,5,193,38
5,28800,0,0,0
5,29400,5,512,102
5,30000,0,0,0
5,30600,5,556,111
5,31200,0,0,0
5,31800,0,0,0
5,32400,5,509,101
5,33000,0,0,0
5,33600,0,0,0
5,34200,0,0,0
5,34800,5,307,61
5,35400,0,0,0
5,36000,0,0,0
5,36600,0,0,0
5,37200,1,12,12
5,37800,2,37,18
5,38400,2,56,28
5,39000,1,36,36
5,39600,0,0,0
5,40200,2,130,65
5,40800,1,46,46
5,41400,2,98,49
5,42000,2,102,51
5,42600,3,179,59
5,43200,3,155,51
5,43800,1,77,77
5,44400,4,249,62
5,45000,3,152,50
5,45600,3,168,56
5,46200,2,109,54
5,46800,5,228,45
5,47400,3,111,37
5,48000,2,77,38
5,48600,4,200,50
5,49200,7,381,54
5,49800,4,134,33
5,50400,5,440,88
5,51000,5,535,107
5,51600,0,0,0
5,52200,5,568,113
5,52800,4,403,100
5,53400,5,616,123
5,54000,5,625,125
5,54600,5,606,121
5,55200,4,386,96
5,55800,6,749,124
5,56400,5,525,105
5,57000,5,503,100
5,57600,4,396,99
5,58200,3,275,91
5,58800,3,182,60
5,59400,5,361,72
5,60000,3,171,57
5,60600,5,369,73
5,61200,7,380,54
5,61800,1,63,63
5,62400,5,283,56
5,63000,7,359,51
5,63600,4,221,55
5,64200,8,478,59
5,64800,4,215,53
5,65400,4,267,66
5,66000,2,132,66
5,66600,5,328,65
5,67200,8,487,60
5,67800,5,289,57
5,68400,5,301,60
5,69000,5,276,55
5,69600,5,228,45
5,70200,5,188,37
5,70800,5,202,40
5,71400,5,200,40
5,72000,4,183,45
5,72600,3,127,42
5,73200,3,106,35
5,73800,3,161,53
5,74400,2,43,21
5,75000,2,92,46
5,75600,2,56,28
5,76200,2,109,54
5,76800,4,140,35
5,77400,3,116,38
5,78000,3,50,16
5,78600,5,63,12
5,79200,4,18,4
6,21600,10,141,14
6,22200,5,199,39
6,22800,4,195,48
6,23400,5,252,50
6,24000,6,306,51
6,24600,5,280,56
6,25200,5,293,58
6,25800,5,288,57
6,26400,4,224,56
6,27000,5,252,50
6,27600,5,233,46
6,28200,5,218,43
6,28800,0,0,0
6,29400,5,470,94
6,30000,0,0,0
6,30600,5,541,108
6,31200,0,0,0
6,31800,0,0,0
6,32400,5,498,99
6,33000,0,0,0
6,33600,0,0,0
6,34200,0,0,0
6,34800,4,285,71
6,35400,1,52,52
6,36000,0,0,0
6,36600,1,24,24
6,37200,2,12,6
6,37800,1,13,13
6,38400,2,63,31
6,39000,2,76,38
6,39600,1,85,85
6,40200,4,264,66
6,40800,0,0,0
6,41400,5,359,71
6,42000,3,177,59
6,42600,4,205,51
6,43200,4,184,46
6,43800,2,140,70
6,44400,3,142,47
6,45000,3,159,53
6,45600,4,211,52
6,46200,5,282,56
6,46800,4,232,58
6,47400,3,151,50
6,48000,4,206,51
6,48600,6,314,52
6,49200,4,215,53
6,49800,4,214,53
6,50400,5,250,50
6,51000,4,258,64
6,51600,1,44,44
6,52200,4,241,60
6,52800,5,287,57
6,53400,4,255,63
6,54000,5,289,57
6,54600,5,336,67
6,55200,4,317,79
6,55800,5,360,72
6,56400,5,367,73
6,57000,5,371,74
6,57600,5,342,68
6,58200,5,339,67
6,58800,0,0,0
6,59400,5,332,66
6,60000,7,466,66
6,60600,5,366,73
6,61200,5,379,75
6,61800,5,364,72
6,62400,5,339,67
6,63000,5,307,61
6,63600,5,305,61
6,64200,5,283,56
6,64800,5,282,56
6,65400,5,294,58
6,66000,0,0,0
6,66600,6,354,59
6,67200,8,473,59
6,67800,5,285,57
6,68400,5,262,52
6,69000,5,296,59
6,69600,5,290,58
6,70200,5,266,53
6,70800,5,249,49
6,71400,5,272,54
6,72000,5,248,49
6,72600,5,247,49
6,73200,0,0,0
6,73800,5,280,56
6,74400,0,0,0
6,75000,5,301,60
6,75600,2,155,77
6,76200,3,168,56
6,76800,4,263,65
6,77400,5,272,54
6,78000,4,213,53
6,78600,6,244,40
6,79200,5,185,37
7,21600,10,239,23
7,22200,5,180,36
7,22800,5,208,41
7,23400,5,226,45
7,24000,5,255,51
7,24600,5,272,54
7,25200,5,286,57
7,25800,5,274,54
7,26400,5,252,50
7,27000,5,243,48
7,27600,5,225,45
7,28200,5,211,42
7,28800,0,0,0
